model,accuracy,precision,recall,f1,rmse,roc_auc,train_accuracy,validation_accuracy,train_validation_gap,validation_log_loss,test_log_loss,cv_accuracy_mean,cv_accuracy_std,feature_count,overfitting_flag,underfitting_flag,sensitive_signal_correlation,memorization_risk_flag,best_params
Logistic Regression,0.66,0.47575057736720555,0.64576802507837,0.5478723404255319,0.5830951894845301,0.7176750031071768,0.686,0.696,0.0,0.5892568946175294,0.6104732451630218,0.6799999999999999,0.012472191289246457,16,False,False,0.4288157379986382,False,"{""model__C"": 3.0, ""select__k"": ""all""}"
Random Forest,0.681,0.5,0.64576802507837,0.5636114911080712,0.5648008498577175,0.7194150221645286,0.7063333333333334,0.681,0.02533333333333332,0.5995195580815842,0.609451172488968,0.6796666666666666,0.017619433715203355,16,False,False,0.41495495945335986,False,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""select__k"": ""all""}"
SVM,0.671,0.4872448979591837,0.5987460815047022,0.5372714486638537,0.5735852159879995,0.7163400678515368,0.6976666666666667,0.686,0.011666666666666603,0.5613235783407654,0.5703601497691537,0.6763333333333333,0.01550627113281736,16,False,False,0.1483002926589216,False,"{""model__C"": 0.5, ""model__gamma"": ""scale"", ""select__k"": ""all""}"
XGBoost,0.724,0.6214689265536724,0.3448275862068966,0.4435483870967742,0.5253570214625479,0.7242530116599689,0.7373333333333333,0.728,0.009333333333333305,0.5486746072387669,0.5533228037587103,0.7226666666666667,0.008406346808612328,16,False,False,0.44840334330203524,False,"{""model__gamma"": null, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""select__k"": ""all""}"
