method,noise_std,generalization_bin,epsilon,gender_mask_probability,hybrid_dp_budget_fraction,swap_fraction,perturbation_strength,optimizer,config_label,k_anonymity,average_equivalence_class_size,reidentification_risk,attribute_disclosure_risk,membership_inference_risk,information_leakage,privacy_score,privacy_loss,baseline_accuracy,masked_accuracy,baseline_roc_auc,masked_roc_auc,accuracy_drop,roc_auc_drop,information_loss,correlation_preservation,covariance_preservation,statistical_similarity,generalization_quality,utility_score,utility_loss,objective_score,mean_ks_statistic,mean_kl_divergence,mean_wasserstein_distance,mean_variance_preservation,overfitting_rate,underfitting_rate,memorization_risk_rate
feature_perturbation,3.0,15,1.0,0.15,0.7,0.35,0.0,grid_random_genetic,feature_perturbation|noise=3.0|bin=15|eps=1.0|gender_p=0.15|dp_fraction=0.7|swap=0.35|perturb=0.0,1.0,22.123893805309734,0.0452,1.0,0.37938,0.5703400000000001,0.4624001504424779,0.537599849557522,0.6840000000000002,0.662,0.7194207761958028,0.6944943127154884,0.02200000000000013,0.024926463480314354,0.0,1.0,1.0,1.0,0.64875,0.9516368700765516,0.04836312992344838,0.4421290009391555,0.0,0.0,0.0,1.0,0.5,0.0,0.5
data_swapping,10.0,20,1.5,0.5,0.8,0.0,0.1,grid_random_genetic,data_swapping|noise=10.0|bin=20|eps=1.5|gender_p=0.5|dp_fraction=0.8|swap=0.0|perturb=0.1,1.0,22.123893805309734,0.0452,1.0,0.37938,0.5703400000000001,0.4624001504424779,0.537599849557522,0.6840000000000002,0.662,0.7194207761958028,0.6944943127154884,0.02200000000000013,0.024926463480314354,0.0,1.0,1.0,1.0,0.64875,0.9516368700765516,0.04836312992344838,0.4421290009391555,0.0,0.0,0.0,1.0,0.5,0.0,0.5
generalization,4.725259747304836,10,3.061767483146275,0.04845791839185103,0.845410427810181,0.34751014618349585,0.08942205669037759,optuna,generalization|noise=4.725259747304836|bin=10|eps=3.061767483146275|gender_p=0.04845791839185103|dp_fraction=0.845410427810181|swap=0.34751014618349585|perturb=0.08942205669037759,1.0,119.04761904761905,0.0084,0.9533005847953216,0.3391152046783626,0.528095321637427,0.5061106140350877,0.4938893859649123,0.6840000000000002,0.669,0.7194207761958028,0.7082855748737567,0.015000000000000124,0.011135201322046151,0.13693728070175437,0.8922092863931943,0.8208254033248368,0.8664255545025696,0.7837500000000001,0.9027845315844188,0.09721546841558115,0.4420780801542934,0.12616,2.4638161938580176,0.6826800000000002,0.8380738827940316,0.5,0.0,0.5
data_swapping,4.9494891071334095,5,0.8091988642598109,0.25625,0.5,0.012817479154357861,0.13061220583739583,grid_random_genetic,data_swapping|noise=4.9494891071334095|bin=5|eps=0.8091988642598109|gender_p=0.25625|dp_fraction=0.5|swap=0.012817479154357861|perturb=0.13061220583739583,1.0,22.123893805309734,0.0452,0.9965380116959065,0.3781683040935673,0.5684359064327487,0.46320506272317963,0.5367949372768204,0.6840000000000002,0.663,0.7194207761958028,0.6895251313069937,0.02100000000000013,0.029895644888809136,0.0021482456140350875,0.968356080331097,0.9072104961898869,1.0,0.6498750000000001,0.9341407292447312,0.06585927075526876,0.4264443303092255,0.0,0.0,0.0,1.0,0.5,0.0,0.5
data_swapping,0.0,10,1.0,0.0,0.7,0.05,0.0,grid_random_genetic,data_swapping|noise=0.0|bin=10|eps=1.0|gender_p=0.0|dp_fraction=0.7|swap=0.05|perturb=0.0,1.0,22.123893805309734,0.0452,0.9877263157894737,0.3750842105263158,0.5635894736842106,0.4652537820214253,0.5347462179785747,0.6840000000000002,0.658,0.7194207761958028,0.6896471167700091,0.026000000000000134,0.029773659425793686,0.007752631578947369,0.9307832518595559,0.8085906358569454,1.0,0.65175,0.9136484663008272,0.08635153369917281,0.4092405406868854,0.0,0.0,0.0,1.0,0.5,0.0,0.5
data_swapping,0.0,10,1.0,0.0,0.7,0.1,0.0,grid_random_genetic,data_swapping|noise=0.0|bin=10|eps=1.0|gender_p=0.0|dp_fraction=0.7|swap=0.1|perturb=0.0,1.0,22.123893805309734,0.0452,0.9765754385964912,0.37118140350877193,0.5574564912280703,0.46784636096879373,0.5321536390312063,0.6840000000000002,0.6575,0.7194207761958028,0.6834868508877319,0.02650000000000019,0.035933925308070935,0.014634210526315791,0.9015995942642596,0.8424563237448615,1.0,0.6303749999999999,0.9085105409807508,0.09148945901924921,0.4071203720488869,0.0,0.0,0.0,1.0,0.5,0.0,0.5
data_swapping,1.0,25,1.5,0.05,0.5,0.1,0.1,grid_random_genetic,data_swapping|noise=1.0|bin=25|eps=1.5|gender_p=0.05|dp_fraction=0.5|swap=0.1|perturb=0.1,1.0,22.123893805309734,0.0452,0.9758105263157896,0.37091368421052634,0.5570357894736844,0.4680242030740568,0.5319757969259432,0.6840000000000002,0.651,0.7194207761958028,0.6859115996667264,0.03300000000000014,0.03350917652907637,0.015421052631578946,0.898549039170359,0.7581022293720311,1.0,0.612,0.8940919393491454,0.10590806065085456,0.3936824169280724,0.0,0.0,0.0,1.0,0.5,0.0,0.5
data_swapping,10.0,5,3.0,0.5,0.7,0.35,0.05,grid_random_genetic,data_swapping|noise=10.0|bin=5|eps=3.0|gender_p=0.5|dp_fraction=0.7|swap=0.35|perturb=0.05,1.0,22.123893805309734,0.0452,0.9156257309941521,0.34984900584795325,0.5239341520467837,0.48201716798633754,0.5179828320136625,0.6840000000000002,0.659,0.7194207761958028,0.674770644313406,0.025000000000000133,0.04465013188239675,0.05239035087719299,0.7461240876701544,0.6537760626550453,1.0,0.6375000000000001,0.8554389186820288,0.14456108131797119,0.3719178903801033,0.0,0.0,0.0,1.0,0.5,0.0,0.5
data_swapping,0.0,10,1.0,0.0,0.7,0.2,0.0,grid_random_genetic,data_swapping|noise=0.0|bin=10|eps=1.0|gender_p=0.0|dp_fraction=0.7|swap=0.2|perturb=0.0,1.0,22.123893805309734,0.0452,0.9495953216374269,0.3617383625730994,0.5426174269005849,0.47411923816177615,0.5258807618382239,0.6840000000000002,0.643,0.7194207761958028,0.6632706374085684,0.04100000000000015,0.056150138787234405,0.03150175438596491,0.8190938174689814,0.5792219292461176,1.0,0.6371249999999999,0.8523881869261162,0.14761181307388382,0.36070263290585364,0.0,0.0,0.0,1.0,0.5,0.0,0.5
hybrid,0.25,20,0.25,0.0125,0.7,0.05,0.2,grid_random_genetic,hybrid|noise=0.25|bin=20|eps=0.25|gender_p=0.0125|dp_fraction=0.7|swap=0.05|perturb=0.2,1.0,6.112469437652812,0.1636,0.47159831441304,0.27139941004456397,0.33299907292717207,0.4254901474001907,0.5745098525998094,0.6840000000000002,0.657,0.7194207761958028,0.6672581810816658,0.027000000000000135,0.05216259511413701,0.26912563209511,0.0,0.0,0.7566647798813204,0.9028750000000001,0.6195865575467835,0.3804134424532165,0.08940140238891153,0.15596000000000002,0.5459969263027873,4.854244364131651,0.6261718879512361,0.0,0.0,0.0
