model,accuracy,precision,recall,f1,rmse,roc_auc,train_accuracy,validation_accuracy,train_validation_gap,validation_log_loss,test_log_loss,cv_accuracy_mean,cv_accuracy_std,feature_count,overfitting_flag,underfitting_flag,sensitive_signal_correlation,memorization_risk_flag,best_params
Logistic Regression,0.651,0.4659090909090909,0.6426332288401254,0.5401844532279315,0.5907622195096771,0.7159211743747669,0.685,0.687,0.0,0.5910027245047688,0.6144274451597875,0.681,0.012229290885229425,20,False,False,0.40761778226385253,False,"{""model__C"": 0.1, ""select__k"": ""all""}"
Random Forest,0.673,0.4902439024390244,0.6300940438871473,0.551440329218107,0.5718391382198319,0.7175276999065546,0.6966666666666667,0.693,0.003666666666666707,0.6066667868955358,0.6181034593730559,0.674,0.012587471725666145,20,False,False,0.39221443781710347,False,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""select__k"": ""all""}"
SVM,0.675,0.4927536231884058,0.6394984326018809,0.5566166439290586,0.570087712549569,0.7037157232356989,0.6983333333333334,0.677,0.021333333333333315,0.5625396727074594,0.5655337720259577,0.6826666666666666,0.01057250101810244,20,False,False,0.2589717266452102,False,"{""model__C"": 0.5, ""model__gamma"": ""scale"", ""select__k"": ""all""}"
XGBoost,0.72,0.6344827586206897,0.2884012539184953,0.39655172413793105,0.5291502622129182,0.7172699193054652,0.7286666666666667,0.721,0.0076666666666667105,0.549580176670009,0.5606751892200906,0.724,0.007423685817106689,20,False,False,0.383756755967565,False,"{""model__gamma"": null, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""select__k"": ""all""}"
